outcome,term,coefficient,robust_se,odds_ratio_vs_4K,ci_low,ci_high,p_value
inaccurate,"C(context_label_str, Treatment(reference='4K'))[T.8K]",0.1924567786879972,0.060554944871190675,1.212224108658743,1.0765605331164185,1.3649834304807964,0.0014818360171506605
inaccurate,"C(context_label_str, Treatment(reference='4K'))[T.16K]",0.3717039398955416,0.07349000988253902,1.450203570310053,1.2556660730635474,1.6748803208554883,4.2393432598441267e-07
inaccurate,"C(context_label_str, Treatment(reference='4K'))[T.32K]",0.48860475229223366,0.08578915074252805,1.6300403225806446,1.3777629134238596,1.9285113769217808,1.230727246221633e-08
inaccurate,"C(context_label_str, Treatment(reference='4K'))[T.64K]",0.8443223002746392,0.098386942021178,2.326400679117148,1.9183921961046912,2.8211854337116855,9.352183651282852e-18
inaccurate,"C(context_label_str, Treatment(reference='4K'))[T.82K]",0.9024736756135959,0.10040237170607841,2.465694902844071,2.0252408729860116,3.001939885277649,2.504695282365884e-19
hallucinatory_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.8K]",0.13074788206765778,0.04976548036340105,1.139680411219128,1.0337669180012403,1.2564451590576462,0.008607032128314504
hallucinatory_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.16K]",0.026552112110531188,0.07243853047927512,1.0269077601980388,0.8909875731220805,1.1835625768154938,0.713957091577339
hallucinatory_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.32K]",0.17332634541159475,0.07819087829330486,1.1892541493972235,1.020277898845677,1.3862158863370992,0.026643051782520404
hallucinatory_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.64K]",0.32340517905602834,0.08928749129744681,1.3818251240931623,1.1599824919329254,1.646094390953527,0.0002922596213519857
hallucinatory_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.82K]",0.27213688818814363,0.08778617208477946,1.3127666912659341,1.1052583986466422,1.5592339201470986,0.001935224681508685
grounded_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.8K]",0.13204807962079435,0.12182016513067521,1.1411631846414534,0.8987817384074864,1.4489095164399222,0.27838292249058905
grounded_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.16K]",0.5508872472542157,0.12260343256915623,1.7347915242652205,1.3642283194478098,2.2060102328623294,7.014603970734495e-06
grounded_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.32K]",0.5177057028097102,0.12876558903611984,1.678173001932803,1.30386089975924,2.1599425406009054,5.806775737627567e-05
grounded_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.64K]",0.7491627319904112,0.1298987094259801,2.1152282620426797,1.639786318709333,2.728520508736594,8.055929515087025e-09
grounded_inaccuracy,"C(context_label_str, Treatment(reference='4K'))[T.82K]",0.8694240948023616,0.1250366677520252,2.385536614910995,1.867044555930113,3.0480177470890664,3.567045013009868e-12
