domain,context,n,correct_rate,inaccuracy_rate,hallucinatory_rate,grounded_rate
CLINICAL_TRIALS,4K,125,0.56,0.44,0.408,0.032
CLINICAL_TRIALS,8K,125,0.504,0.496,0.464,0.032
CLINICAL_TRIALS,16K,125,0.496,0.504,0.448,0.056
CLINICAL_TRIALS,32K,125,0.448,0.552,0.432,0.12
CLINICAL_TRIALS,64K,125,0.4,0.6,0.4,0.2
CLINICAL_TRIALS,82K,125,0.408,0.592,0.368,0.224
FDA,4K,125,0.416,0.584,0.536,0.048
FDA,8K,125,0.376,0.624,0.552,0.072
FDA,16K,125,0.392,0.608,0.488,0.12
FDA,32K,125,0.456,0.544,0.448,0.096
FDA,64K,125,0.376,0.624,0.448,0.176
FDA,82K,125,0.376,0.624,0.448,0.176
FRED,4K,125,0.568,0.432,0.208,0.224
FRED,8K,125,0.568,0.432,0.2,0.232
FRED,16K,125,0.44,0.56,0.248,0.312
FRED,32K,125,0.352,0.648,0.28,0.368
FRED,64K,125,0.24,0.76,0.392,0.368
FRED,82K,124,0.20967741935483872,0.7903225806451613,0.3629032258064516,0.4274193548387097
SEC,4K,125,0.472,0.528,0.216,0.312
SEC,8K,125,0.376,0.624,0.272,0.352
SEC,16K,125,0.32,0.68,0.208,0.472
SEC,32K,125,0.28,0.72,0.368,0.352
SEC,64K,125,0.2,0.8,0.432,0.368
SEC,82K,124,0.1774193548387097,0.8225806451612904,0.43548387096774194,0.3870967741935484
