context,error_type,count,rate_of_gradable
4K,UNSUPPORTED_VALUE,122,0.244
4K,FAILED_TO_ABSTAIN,49,0.098
4K,WRONG_ENTITY,32,0.064
4K,WRONG_PERIOD,6,0.012
4K,WRONG_VERSION,10,0.02
4K,WRONG_FIELD,1,0.002
4K,WRONG_UNIT,3,0.006
4K,WRONG_SERIES_VARIANT,2,0.004
4K,CALCULATION_ERROR,12,0.024
4K,UNNECESSARY_ABSTENTION,11,0.022
8K,UNSUPPORTED_VALUE,135,0.27
8K,FAILED_TO_ABSTAIN,51,0.102
8K,WRONG_ENTITY,45,0.09
8K,WRONG_PERIOD,10,0.02
8K,WRONG_VERSION,11,0.022
8K,WRONG_FIELD,1,0.002
8K,WRONG_UNIT,2,0.004
8K,WRONG_SERIES_VARIANT,3,0.006
8K,CALCULATION_ERROR,9,0.018
8K,UNNECESSARY_ABSTENTION,5,0.01
16K,UNSUPPORTED_VALUE,112,0.224
16K,FAILED_TO_ABSTAIN,62,0.124
16K,WRONG_ENTITY,44,0.088
16K,WRONG_PERIOD,19,0.038
16K,WRONG_VERSION,23,0.046
16K,WRONG_FIELD,4,0.008
16K,WRONG_UNIT,0,0.0
16K,WRONG_SERIES_VARIANT,2,0.004
16K,CALCULATION_ERROR,8,0.016
16K,UNNECESSARY_ABSTENTION,20,0.04
32K,UNSUPPORTED_VALUE,114,0.228
32K,FAILED_TO_ABSTAIN,77,0.154
32K,WRONG_ENTITY,42,0.084
32K,WRONG_PERIOD,19,0.038
32K,WRONG_VERSION,25,0.05
32K,WRONG_FIELD,6,0.012
32K,WRONG_UNIT,2,0.004
32K,WRONG_SERIES_VARIANT,3,0.006
32K,CALCULATION_ERROR,12,0.024
32K,UNNECESSARY_ABSTENTION,8,0.016
64K,UNSUPPORTED_VALUE,110,0.22
64K,FAILED_TO_ABSTAIN,99,0.198
64K,WRONG_ENTITY,43,0.086
64K,WRONG_PERIOD,35,0.07
64K,WRONG_VERSION,22,0.044
64K,WRONG_FIELD,12,0.024
64K,WRONG_UNIT,0,0.0
64K,WRONG_SERIES_VARIANT,1,0.002
64K,CALCULATION_ERROR,14,0.028
64K,UNNECESSARY_ABSTENTION,12,0.024
82K,UNSUPPORTED_VALUE,104,0.20883534136546184
82K,FAILED_TO_ABSTAIN,97,0.19477911646586346
82K,WRONG_ENTITY,47,0.09437751004016064
82K,WRONG_PERIOD,45,0.09036144578313253
82K,WRONG_VERSION,18,0.03614457831325301
82K,WRONG_FIELD,15,0.030120481927710843
82K,WRONG_UNIT,1,0.002008032128514056
82K,WRONG_SERIES_VARIANT,2,0.004016064257028112
82K,CALCULATION_ERROR,13,0.02610441767068273
82K,UNNECESSARY_ABSTENTION,10,0.020080321285140562
