domain,context,n,correct_rate,inaccuracy_rate,hallucinatory_rate,grounded_rate
CLINICAL_TRIALS,4K,125,0.56,0.44,0.4,0.04
CLINICAL_TRIALS,8K,125,0.48,0.52,0.424,0.096
CLINICAL_TRIALS,16K,125,0.456,0.544,0.368,0.176
CLINICAL_TRIALS,32K,125,0.384,0.616,0.392,0.224
CLINICAL_TRIALS,64K,125,0.44,0.56,0.224,0.336
CLINICAL_TRIALS,82K,125,0.424,0.576,0.216,0.36
FDA,4K,125,0.424,0.576,0.52,0.056
FDA,8K,125,0.328,0.672,0.568,0.104
FDA,16K,125,0.36,0.64,0.544,0.096
FDA,32K,125,0.296,0.704,0.552,0.152
FDA,64K,125,0.344,0.656,0.504,0.152
FDA,82K,125,0.272,0.728,0.536,0.192
FRED,4K,125,0.632,0.368,0.168,0.2
FRED,8K,125,0.432,0.568,0.088,0.48
FRED,16K,125,0.32,0.68,0.032,0.648
FRED,32K,125,0.232,0.768,0.016,0.752
FRED,64K,125,0.2,0.8,0.0,0.8
FRED,82K,125,0.208,0.792,0.0,0.792
SEC,4K,125,0.576,0.424,0.048,0.376
SEC,8K,125,0.592,0.408,0.064,0.344
SEC,16K,125,0.44,0.56,0.016,0.544
SEC,32K,125,0.336,0.664,0.016,0.648
SEC,64K,125,0.32,0.68,0.008,0.672
SEC,82K,125,0.248,0.752,0.024,0.728
