model,model_label,context,successful_n,runtime_failures,accurate_rate,inaccuracy_rate,mean_rendered_tokens
llama32_3b,Llama-3.2-3B-Instruct,4K,500,0,0.504,0.496,4273.298
llama32_3b,Llama-3.2-3B-Instruct,8K,500,0,0.456,0.544,8330.55
llama32_3b,Llama-3.2-3B-Instruct,16K,500,0,0.412,0.588,16442.33
llama32_3b,Llama-3.2-3B-Instruct,32K,500,0,0.384,0.616,32671.378
llama32_3b,Llama-3.2-3B-Instruct,64K,500,0,0.304,0.696,65126.13
llama32_3b,Llama-3.2-3B-Instruct,82K,498,2,0.2931726907630522,0.7068273092369478,81745.13253012048
qwen35_2b,Qwen3.5-2B,4K,500,0,0.548,0.452,5163.938
qwen35_2b,Qwen3.5-2B,8K,500,0,0.458,0.542,10105.758
qwen35_2b,Qwen3.5-2B,16K,500,0,0.394,0.606,19980.884
qwen35_2b,Qwen3.5-2B,32K,500,0,0.312,0.688,39735.956
qwen35_2b,Qwen3.5-2B,64K,500,0,0.326,0.674,79219.048
qwen35_2b,Qwen3.5-2B,82K,500,0,0.288,0.712,99421.714
phi4mini,Phi-4-mini-instruct,4K,500,0,0.496,0.504,4195.348
phi4mini,Phi-4-mini-instruct,8K,500,0,0.468,0.532,8204.63
phi4mini,Phi-4-mini-instruct,16K,500,0,0.44,0.56,16220.268
phi4mini,Phi-4-mini-instruct,32K,0,500,,,
phi4mini,Phi-4-mini-instruct,64K,0,500,,,
phi4mini,Phi-4-mini-instruct,82K,0,500,,,
